scientificName,animal,Movement,redlistCategory,populationTrend,Pac_Americas,Cen_Americas,Atl_Americas,Eas_Atlantic,Black_Sea,Eas_Africa,Cen_Asia,Eas_Asia,migratory,EOO,American,AfroPal,Asian,Artificial,Coastal,Forest,Grassland,Savanna,Shrubland,Wetlands,Hemisphere
Formicarius analis,Formicarius_analis,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,10100000,1,0,0,0,0,1,0,0,0,0,3
Formicarius colma,Formicarius_colma,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,12000000,1,0,0,0,0,1,0,0,0,0,3
Formicarius moniliger,Formicarius_moniliger,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,546000,1,0,0,0,0,1,0,0,0,0,3
Formicarius nigricapillus,Formicarius_nigricapillus,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,783000,1,0,0,0,0,1,0,0,0,0,3
Formicarius rufifrons,Formicarius_rufifrons,Not a Migrant,Near Threatened,Decreasing,1,1,0,0,0,0,0,0,0,93200,1,0,0,0,0,1,0,0,1,0,3
Formicarius rufipectus,Formicarius_rufipectus,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,2590000,1,0,0,1,0,1,0,0,1,0,3
Formicivora acutirostris,Stymphalornis_acutirostris,Not a Migrant,Near Threatened,Decreasing,0,0,1,0,0,0,0,0,0,27900,1,0,0,0,0,0,1,0,0,1,3
Formicivora erythronotos,Formicivora_erythronotos,Not a Migrant,Endangered,Decreasing,0,0,1,0,0,0,0,0,0,410,1,0,0,1,0,0,0,0,1,0,3
Formicivora grantsaui,Formicivora_rufa,Not a Migrant,Endangered,Decreasing,0,0,1,0,0,0,0,0,0,3600,1,0,0,0,0,0,0,0,1,0,3
Formicivora grisea,Formicivora_grisea,Not a Migrant,Least Concern,Unknown,1,1,1,0,0,0,0,0,0,8830000,1,0,0,0,0,1,0,1,1,0,3
Formicivora iheringi,Formicivora_iheringi,Not a Migrant,Near Threatened,Decreasing,0,0,1,0,0,0,0,0,0,286500,1,0,0,0,0,1,0,0,0,0,3
Formicivora intermedia,Formicivora_intermedia,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,1520000,1,0,0,0,0,1,0,1,1,0,3
Formicivora melanogaster,Formicivora_melanogaster,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,4460000,1,0,0,0,0,1,0,1,1,0,3
Formicivora paludicola,Stymphalornis_acutirostris,Not a Migrant,Critically Endangered,Unknown,0,0,1,0,0,0,0,0,0,1500,1,0,0,0,0,0,0,0,0,1,3
Formicivora rufa,Formicivora_rufa,Not a Migrant,Least Concern,Stable,1,1,1,0,0,0,0,0,0,9220000,1,0,0,0,0,1,1,1,1,0,3
Formicivora serrana,Formicivora_serrana,Not a Migrant,Least Concern,Decreasing,0,0,1,0,0,0,0,0,0,267000,1,0,0,1,0,1,0,0,1,0,3
