animal,decline,migratory,American,AfroPal,Asian,Artificial,Coastal,Forest,Grassland,Savanna,Shrubland,Wetlands,Hemisphere,EOO
Aegotheles_crinifrons,1,0,0,0,1,1,0,1,0,0,0,0,2,50500
Aegotheles_cristatus,0,0,0,0,1,0,0,1,0,1,0,1,2,12100000
Aegotheles_insignis,0,0,0,0,1,0,0,1,0,0,0,0,2,637000
Aegotheles_savesi,1,0,0,0,1,0,0,1,0,0,0,0,2,12
Aegotheles_wallacii,1,0,0,0,1,0,0,1,0,0,0,0,2,595000
Aegypius_monachus,1,1,0,1,1,0,0,1,1,0,1,0,3,22400000
Aepypodius_arfakianus,0,0,0,0,1,0,0,1,0,0,0,0,2,685000
Aepypodius_bruijnii,1,0,0,0,1,0,0,1,0,0,0,0,2,1300
Collocalia_bartschi,1,0,0,0,1,1,0,1,0,0,0,0,2,4400
Collocalia_brevirostris,0,1,0,0,1,1,0,1,0,0,0,0,3,3630000
Collocalia_fuciphaga,1,0,0,0,1,1,1,1,0,0,1,0,2,8910000
Collocalia_hirundinacea,0,0,0,0,1,0,0,1,0,0,0,0,2,957000
Collocalia_infuscata,1,0,0,0,1,0,0,1,0,0,0,0,2,931000
Collocalia_maxima,1,0,0,0,1,0,0,1,0,0,0,0,2,4580000
Collocalia_mearnsi,0,0,0,0,1,0,0,1,0,0,0,0,2,856000
Collocalia_nuditarsus,0,0,0,0,1,0,0,1,0,0,0,0,2,398000
Collocalia_papuensis,0,0,0,0,1,0,0,1,0,0,0,1,2,315000
Collocalia_pelewensis,0,0,0,0,1,0,0,1,0,0,0,0,2,1700
Collocalia_salangana,1,0,0,0,1,0,0,1,0,0,0,0,2,2890000
Collocalia_spodiopygia,0,0,0,0,1,0,0,1,0,0,0,0,2,5430000
Collocalia_terraereginae,0,0,0,0,1,0,0,1,0,1,0,0,2,223000
Collocalia_unicolor,1,0,0,0,1,0,0,1,0,0,1,0,2,434000
Collocalia_vanikorensis,0,0,0,0,1,0,0,1,0,0,0,0,2,11200000
Collocalia_vulcanorum,0,0,0,0,1,0,0,1,0,0,0,0,2,19800
Collocalia_whiteheadi,1,0,0,0,1,0,0,1,0,0,0,0,2,170000
Aeronautes_andecolus,0,0,1,0,0,0,0,0,0,0,1,0,2,2400000
Aeronautes_montivagus,0,0,1,0,0,1,0,1,0,0,0,0,2,5550000
Aeronautes_saxatalis,1,1,1,0,0,1,0,1,1,0,1,0,3,6580000
Aethopyga_bella,0,0,0,0,1,0,0,1,0,0,1,0,2,877000
Aethopyga_boltoni,1,0,0,0,1,0,0,1,0,0,1,0,2,7500
Aethopyga_christinae,1,0,0,0,1,0,0,1,0,0,0,0,2,38600
Aethopyga_duyvenbodei,1,0,0,0,1,1,0,1,0,0,1,0,2,700
Aethopyga_eximia,0,0,0,0,1,0,0,1,0,0,1,0,2,50300
Aethopyga_flagrans,1,0,0,0,1,0,0,1,0,0,0,0,2,212000
Aethopyga_gouldiae,0,0,0,0,1,0,0,1,0,0,1,0,3,5850000
Aethopyga_flagrans,1,0,0,0,1,0,0,1,0,0,0,0,2,212000
Aethopyga_ignicauda,0,0,0,0,1,0,0,1,0,0,1,0,3,1680000
Aethopyga_christinae,1,0,0,0,1,0,0,1,0,0,0,0,3,38600
Aethopyga_linaraborae,1,0,0,0,1,0,0,1,0,0,0,0,2,2900
Aethopyga_siparaja,0,0,0,0,1,1,0,1,1,0,1,0,2,76600
Aethopyga_mystacalis,1,0,0,0,1,0,0,1,0,0,0,0,2,177000
Aethopyga_nipalensis,0,0,0,0,1,1,0,1,0,0,1,0,3,4580000
Aethopyga_primigenia,0,0,0,0,1,0,0,1,0,0,0,0,2,12000
Aethopyga_pulcherrima,0,0,0,0,1,1,0,1,0,0,0,0,2,673000
Aethopyga_saturata,0,0,0,0,1,0,0,1,0,0,1,0,3,5630000
Aethopyga_shelleyi,0,0,0,0,1,0,0,1,0,0,1,0,2,42400
Aethopyga_siparaja,0,0,0,0,1,1,0,1,1,0,1,0,3,76600
Aethopyga_mystacalis,1,0,0,0,1,0,0,1,0,0,0,0,2,177000
Aethopyga_siparaja,0,0,0,0,1,1,0,1,1,0,1,0,2,76600
Afropavo_congensis,1,0,0,1,0,0,0,1,0,0,0,0,2,788000
Eupodotis_afra,1,0,0,1,0,0,0,0,1,1,1,0,2,254000
Eupodotis_afra,0,0,0,1,0,0,0,0,1,1,1,0,2,254000
Agapornis_canus,0,0,0,1,0,1,0,0,0,1,1,0,2,689000
Agapornis_fischeri,1,0,0,1,0,1,0,1,0,1,0,0,2,206000
Agapornis_lilianae,1,0,0,1,0,1,0,1,0,1,0,0,2,539000
Agapornis_nigrigenis,1,0,0,1,0,1,0,1,0,0,0,1,2,17500
Agapornis_personatus,0,0,0,1,0,0,0,0,0,1,0,0,2,226000
Agapornis_pullarius,1,1,0,1,0,0,0,1,0,1,1,0,2,8360000
Agapornis_roseicollis,1,0,0,1,0,0,0,0,0,1,1,0,2,768000
Agapornis_swindernianus,1,0,0,1,0,0,0,1,0,0,0,0,2,3020000
Agapornis_taranta,0,0,0,1,0,1,0,1,0,1,0,0,2,572000
Agelaioides_badius,0,0,1,0,0,1,0,1,0,1,1,0,2,5180000
Agelaioides_badius,0,0,1,0,0,1,0,1,0,0,1,0,2,5180000
Agelaius_assimilis,0,0,1,0,0,1,0,0,0,0,0,1,2,48600
Agelaius_humeralis,0,0,1,0,0,1,0,1,0,0,1,0,2,258000
Agelaius_phoeniceus,1,0,1,0,1,1,0,0,0,0,0,1,3,23100000
Agelaius_tricolor,1,0,1,0,0,1,0,0,0,0,0,1,1,758000
Agelaius_xanthomus,1,0,1,0,0,1,0,1,0,0,1,0,2,9000
Agelastes_meleagrides,1,0,0,1,0,1,0,1,0,0,0,0,2,191000
Agelastes_niger,1,0,0,1,0,0,0,1,0,0,0,0,2,2180000
