"","scientificName","orderName","familyName","genusName","Movement","redlistCategory","populationTrend","decline","threatend","habitatNotes","breedArtif","breedCoast","breedDesert","breedForest","breedGrass","breedInter","breedNerit","breedRock","breedSavan","breedShrub","breedUbiqu","breedUnkno","breedWetla","nonbArtif","nonbCoast","nonbDesert","nonbForest","nonbGrass","nonbInter","nonbNerit","nonbRock","nonbSavan","nonbShrub","nonbUbiqu","nonbUnkno","nonbWetla","HabNum","Pac_Americas","Cen_Americas","Atl_Americas","Eas_Atlantic","Black_Sea","Eas_Africa","Cen_Asia","Eas_Asia","Breed_Hemisphere","Nonbreed_Hemisphere","migratory"
"57","Acrocephalus kerearako","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Not a Migrant","Near Threatened","Decreasing",1,1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"58","Acrocephalus longirostris","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Not a Migrant","Critically Endangered","Unknown",1,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"59","Acrocephalus luscinius","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Not a Migrant","Extinct","",0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"60","Acrocephalus melanopogon","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Full Migrant","Least Concern","Stable",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,3,3,1
"61","Acrocephalus mendanae","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Not a Migrant","Least Concern","Stable",0,0,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"62","Acrocephalus musae","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Not a Migrant","Extinct","",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"63","Acrocephalus newtoni","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Not a Migrant","Least Concern","Stable",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,1,1,0,0,2,2,0
"64","Acrocephalus nijoi","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Not a Migrant","Extinct","",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"65","Acrocephalus orientalis","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Full Migrant","Least Concern","Decreasing",1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,1,1,3,2,1
"66","Acrocephalus orinus","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Full Migrant","Data Deficient","Unknown",1,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,1,1,1,2,1
